UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Timestamp,Shift,Downtime_min,Quantity_Produced,Ideal_Production_per_Hour
1,M14860,M,298.1,308.6,1551,42.8,1.0618101782710436,0,0,0,0,0,0,2025-01-01 00:00:00,3,0,55,50
2,L47181,L,298.2,308.7,1408,46.3,2.7313466786801976,0,0,0,0,0,0,2025-01-01 01:00:00,3,0,54,50
3,L47182,L,298.1,308.5,1498,49.4,3.4653384591845016,0,0,0,0,0,0,2025-01-01 03:00:00,3,0,52,50
4,L47183,L,298.2,308.6,1433,39.5,4.465901375893035,0,0,0,0,0,0,2025-01-01 04:00:00,3,0,47,50
5,L47184,L,298.2,308.7,1408,40.0,4.9967781173367385,0,0,0,0,0,0,2025-01-01 05:00:00,3,0,50,50
6,M14865,M,298.1,308.6,1425,41.9,5.49794626609826,0,0,0,0,0,0,2025-01-01 06:00:00,1,0,45,50
7,L47186,L,298.1,308.6,1558,42.4,6.4543096305375665,0,0,0,0,0,0,2025-01-01 07:00:00,1,0,53,50
8,L47187,L,298.1,308.6,1527,40.2,7.391153340834629,0,0,0,0,0,0,2025-01-01 08:00:00,1,0,54,50
9,M14868,M,298.3,308.7,1667,28.6,7.961151835655052,0,0,0,0,0,0,2025-01-01 09:00:00,1,0,47,50
10,M14869,M,298.5,309.0,1741,28.0,9.034844822555796,0,0,0,0,0,0,2025-01-01 10:00:00,1,0,53,50
11,H29424,H,298.4,308.9,1782,23.9,9.604520441635792,0,0,0,0,0,0,2025-01-01 11:00:00,1,0,49,50
12,H29425,H,298.6,309.1,1423,44.3,0.0,1,0,0,0,0,0,2025-01-01 12:00:00,1,60,0,50
13,M14872,M,298.6,309.1,1339,51.1,1.948448049611839,0,0,0,0,0,0,2025-01-01 13:00:00,1,0,53,50
14,M14873,M,298.6,309.2,1742,30.0,2.4723974279421603,0,0,0,0,0,0,2025-01-01 14:00:00,2,0,51,50
15,L47194,L,298.6,309.2,2035,19.6,3.887392414616092,0,0,0,0,0,0,2025-01-01 15:00:00,2,0,47,50
16,L47195,L,298.6,309.2,1542,48.4,5.751373017734265,0,0,0,0,0,0,2025-01-01 16:00:00,2,0,52,50
17,M14876,M,298.6,309.2,1311,46.6,7.3844151332107435,0,0,0,0,0,0,2025-01-01 17:00:00,2,0,50,50
18,M14877,M,298.7,309.2,1410,45.6,8.704480552225663,0,0,0,0,0,0,2025-01-01 18:00:00,2,0,46,50
19,H29432,H,298.8,309.2,1306,54.5,10.367179787267334,0,0,0,0,0,0,2025-01-01 19:00:00,2,0,48,50
20,M14879,M,298.9,309.3,1632,32.5,11.764029755483962,0,0,0,0,0,0,2025-01-01 20:00:00,2,0,52,50
21,H29434,H,298.9,309.3,1375,42.7,13.11969571709206,0,0,0,0,0,0,2025-01-01 21:00:00,2,0,52,50
22,L47201,L,298.8,309.3,1450,44.8,14.886496490109288,0,0,0,0,0,0,2025-01-01 22:00:00,3,0,49,50
23,M14882,M,298.9,309.3,1581,30.7,16.26662323860506,0,0,0,0,0,0,2025-01-01 23:00:00,3,0,53,50
24,L47203,L,299.0,309.4,1758,25.7,17.211033497161182,0,0,0,0,0,0,2025-01-02 00:00:00,3,0,53,50
25,M14884,M,299.0,309.4,1561,37.3,19.19136390206196,0,0,0,0,0,0,2025-01-02 01:00:00,3,0,52,50
26,L47205,L,299.0,309.5,1861,23.3,19.69964707774736,0,0,0,0,0,0,2025-01-02 03:00:00,3,0,45,50
27,L47206,L,299.1,309.5,1512,39.0,21.266660006870335,0,0,0,0,0,0,2025-01-02 04:00:00,3,0,55,50
28,H29441,H,299.1,309.4,1811,24.6,21.877726984471472,0,0,0,0,0,0,2025-01-02 05:00:00,3,0,53,50
29,L47208,L,299.1,309.4,1439,44.2,23.750166497787145,0,0,0,0,0,0,2025-01-02 06:00:00,1,0,46,50
30,L47209,L,299.0,309.4,1693,30.1,24.39328167252276,0,0,0,0,0,0,2025-01-02 07:00:00,1,0,52,50
31,M14890,M,299.1,309.5,1339,48.2,25.892165207449008,0,0,0,0,0,0,2025-01-02 08:00:00,1,0,50,50
32,L47211,L,299.0,309.4,1798,25.5,27.722984321313497,0,0,0,0,0,0,2025-01-02 09:00:00,1,0,49,50
33,L47212,L,299.0,309.4,1419,48.3,29.680552464397152,0,0,0,0,0,0,2025-01-02 10:00:00,1,0,49,50
34,L47213,L,298.9,309.3,1665,32.5,31.022468260751396,0,0,0,0,0,0,2025-01-02 11:00:00,1,0,51,50
35,M14894,M,298.8,309.1,1559,34.7,31.58311864505904,0,0,0,0,0,0,2025-01-02 12:00:00,1,0,54,50
36,M14895,M,298.8,309.2,1452,48.6,32.121247335175184,0,0,0,0,0,0,2025-01-02 13:00:00,1,0,51,50
37,M14896,M,298.9,309.2,1581,36.7,33.33430266994835,0,0,0,0,0,0,2025-01-02 14:00:00,2,0,48,50
38,L47217,L,298.8,309.1,1439,39.2,35.19565238083749,0,0,0,0,0,0,2025-01-02 15:00:00,2,0,55,50
39,H29452,H,298.9,309.2,1379,50.7,36.00024421793964,0,0,0,0,0,0,2025-01-02 16:00:00,2,0,51,50
40,L47219,L,298.8,309.1,1350,52.5,36.93487139731029,0,0,0,0,0,0,2025-01-02 17:00:00,2,0,46,50
41,L47220,L,298.8,309.1,1362,45.4,38.371402469510976,0,0,0,0,0,0,2025-01-02 18:00:00,2,0,49,50
42,L47221,L,298.8,309.1,1368,50.8,40.178593354792554,0,0,0,0,0,0,2025-01-02 19:00:00,2,0,48,50
43,M14902,M,298.8,309.1,1368,49.1,42.01743185252752,0,0,0,0,0,0,2025-01-02 20:00:00,2,0,54,50
44,H29457,H,298.8,309.2,1372,48.5,42.700563784578534,0,0,0,0,0,0,2025-01-02 21:00:00,2,0,45,50
45,M14904,M,298.8,309.1,1472,47.5,43.60876215865549,0,0,0,0,0,0,2025-01-02 22:00:00,3,0,53,50
46,L47225,L,298.8,309.1,1489,49.1,45.33578430753923,0,0,0,0,0,0,2025-01-02 23:00:00,3,0,51,50
47,M14906,M,298.7,309.0,1843,25.8,46.08276808725364,0,0,0,0,0,0,2025-01-03 00:00:00,3,0,49,50
48,L47227,L,298.8,309.1,1418,46.3,47.62142213658905,0,0,0,0,0,0,2025-01-03 01:00:00,3,0,52,50
49,H29462,H,298.8,309.2,1425,53.9,49.535786692457826,0,0,0,0,0,0,2025-01-03 03:00:00,3,0,52,50
50,M14909,M,298.9,309.2,1412,44.1,51.09031513080059,0,0,0,0,0,0,2025-01-03 04:00:00,3,0,45,50
51,L47230,L,298.9,309.1,2861,4.6,51.97118825170211,0,0,0,1,0,0,2025-01-03 05:00:00,3,0,51,50
52,L47231,L,298.9,309.1,1383,54.9,53.21706101054069,0,0,0,0,0,0,2025-01-03 06:00:00,1,0,45,50
53,H29466,H,298.8,309.0,1497,43.8,55.2136717381141,0,0,0,0,0,0,2025-01-03 07:00:00,1,0,46,50
54,L47233,L,298.7,309.0,1565,35.1,0.0,1,0,0,0,0,0,2025-01-03 08:00:00,1,60,4,50
